Topic,Primary Keyword,Search Volume,Difficulty,Intent,Action,Page Type,Suggested URL,Priority Score,Why Flagged
Gymshark Shoes,gymshark shoes,590,Easy,transactional,New Content,category_page,/gymshark-shoes,38.1,keyword_research
Silverback Gym Wear,silverback gym wear,2900,Easy,transactional,New Content,category_page,/silverback-gym-wear,38.1,keyword_research
Size Trainers,size trainers,1900,Medium,transactional,New Content,category_page,/size-trainers,36.3,"competitor_gap, keyword_research"
Size Trainers,size trainers,1900,Medium,transactional,New Content,category_page,/size-trainers,36.3,keyword_research
Best Budget Running Shoes,best budget running shoes,1300,Easy,commercial,New Content,blog_post,/best-budget-running-shoes,30.0,keyword_research
Adidas,adidas,0,Unknown,Unknown,New Content,blog_post,/adidas,14.5,competitor_gap
Adidas Campuses,adidas campuses,0,Unknown,Unknown,New Content,blog_post,/adidas-campuses,14.5,competitor_gap
Adidas Samba,adidas samba,0,Unknown,Unknown,New Content,blog_post,/adidas-samba,14.5,competitor_gap
Adidas Sambae,adidas sambae,0,Unknown,Unknown,New Content,blog_post,/adidas-sambae,14.5,competitor_gap
Adidas Sambas,adidas sambas,0,Unknown,Unknown,New Content,blog_post,/adidas-sambas,14.5,competitor_gap
Adidas Spezial,adidas spezial,0,Unknown,Unknown,New Content,blog_post,/adidas-spezial,14.5,competitor_gap
Adidas Spezials,adidas spezials,0,Unknown,Unknown,New Content,blog_post,/adidas-spezials,14.5,competitor_gap
Apparel Store Near Me,apparel store near me,0,Unknown,Unknown,New Content,blog_post,/apparel-store-near-me,14.5,competitor_gap
Blacks,blacks,0,Unknown,Unknown,New Content,blog_post,/blacks,14.5,competitor_gap
Caps,caps,0,Unknown,Unknown,New Content,blog_post,/caps,14.5,competitor_gap
David Beckham By David Beckham,david beckham by david beckham,0,Unknown,Unknown,New Content,blog_post,/david-beckham-by-david-beckham,14.5,competitor_gap
Euros Women,euros women,0,Unknown,Unknown,New Content,blog_post,/euros-women,14.5,competitor_gap
Fort Shopping Centre Glasgow,fort shopping centre glasgow,0,Unknown,Unknown,New Content,blog_post,/fort-shopping-centre-glasgow,14.5,competitor_gap
Hoodie,hoodie,0,Unknown,Unknown,New Content,blog_post,/hoodie,14.5,competitor_gap
Hoodies,hoodies,0,Unknown,Unknown,New Content,blog_post,/hoodies,14.5,competitor_gap
Liberty London Uk,liberty london uk,0,Unknown,Unknown,New Content,blog_post,/liberty-london-uk,14.5,competitor_gap
Lionel Messi Football,lionel messi football,0,Unknown,Unknown,New Content,blog_post,/lionel-messi-football,14.5,competitor_gap
Men'S Trainers,men's trainers,0,Unknown,Unknown,New Content,blog_post,/mens-trainers,14.5,competitor_gap
Padel Racket,padel racket,0,Unknown,Unknown,New Content,blog_post,/padel-racket,14.5,competitor_gap
Padel Rackets,padel rackets,0,Unknown,Unknown,New Content,blog_post,/padel-rackets,14.5,competitor_gap
Padelracket,padelracket,0,Unknown,Unknown,New Content,blog_post,/padelracket,14.5,competitor_gap
Spain National Football Team,spain national football team,0,Unknown,Unknown,New Content,blog_post,/spain-national-football-team,14.5,competitor_gap
Sport Shoes,sport shoes,0,Unknown,Unknown,New Content,blog_post,/sport-shoes,14.5,competitor_gap
Sports Shoe,sports shoe,0,Unknown,Unknown,New Content,blog_post,/sports-shoe,14.5,competitor_gap
Sports Shoes,sports shoes,0,Unknown,Unknown,New Content,blog_post,/sports-shoes,14.5,competitor_gap
Tote Bag,tote bag,0,Unknown,Unknown,New Content,blog_post,/tote-bag,14.5,competitor_gap
Trainer,trainer,0,Unknown,Unknown,New Content,blog_post,/trainer,14.5,competitor_gap
Trainers Ladies,trainers ladies,0,Unknown,Unknown,New Content,blog_post,/trainers-ladies,14.5,competitor_gap
Westfield London Shepherds Bush,westfield london shepherds bush,0,Unknown,Unknown,New Content,blog_post,/westfield-london-shepherds-bush,14.5,competitor_gap
Westfield Stratford,westfield stratford,0,Unknown,Unknown,New Content,blog_post,/westfield-stratford,14.5,competitor_gap
Westfield Stratford London,westfield stratford london,0,Unknown,Unknown,New Content,blog_post,/westfield-stratford-london,14.5,competitor_gap
Westfield Stratford London,westfield stratford london,0,Unknown,Unknown,New Content,blog_post,/westfield-stratford-london,14.5,competitor_gap
White City London Westfield,white city london westfield,0,Unknown,Unknown,New Content,blog_post,/white-city-london-westfield,14.5,competitor_gap
Woman Euro,woman euro,0,Unknown,Unknown,New Content,blog_post,/woman-euro,14.5,competitor_gap
Y'S,y's,0,Unknown,Unknown,New Content,blog_post,/ys,14.5,competitor_gap
